EOMONTH,F,CAT,DIS,MCD,KO,PEP,WMT,C,WFC,JPM,AAPL,IBM,PFE,JNJ,XOM,MRO,ED,T,VZ,NEM
2004-12-31,9.227708817,31.54516602,22.57147408,20.08200073,12.7296133,33.38185501,36.93999863,351.6820374,19.42876244,25.04915047,0.988888264,63.26235962,13.21748257,39.63607407,30.18755341,7.987513065,21.10238457,10.50334263,16.61388016,34.7819252
2005-01-31,8.364380836,28.95116043,23.24536514,20.28870964,12.6837616,34.34112167,36.6462822,358.0325012,19.16303253,24.18037796,1.180830717,59.95100021,11.87557697,40.43603516,30.38778496,8.225374222,21.16026115,9.808635712,14.73787212,32.57327271
2005-02-28,8.034124374,30.88449669,22.68513489,20.72092056,13.08422756,34.44343567,36.09378433,351.4368591,18.70813179,23.67513466,1.377686977,59.52526855,13.0193758,41.17596817,37.46653366,10.12032318,20.88698196,9.932484627,14.89523411,35.24400711
2005-03-31,7.195778847,29.71150208,23.32655525,19.50572205,12.82214546,34.0581398,35.14805603,330.9634094,18.8404541,22.41202736,1.279719591,58.753685,13.0094738,42.15517426,35.27098465,10.0305357,20.6084919,9.779741287,14.70061111,33.16390228
2005-04-30,5.847784996,28.74385452,21.4347744,18.35943413,13.36678314,35.73439789,33.06484604,349.1047058,18.88455963,23.21901703,1.10743165,49.10931396,13.45516586,43.0778656,33.75006485,9.955710411,21.14593887,9.958059311,14.99461269,29.80434036
2005-05-31,6.406246185,30.72213745,22.27918053,19.3804493,13.73295307,36.13257217,33.23403549,350.2196655,19.18537903,23.38912582,1.221062064,48.70468903,13.91224957,42.32395935,33.42826843,10.43058681,22.51825142,9.782333374,14.81869507,29.31162262
2005-06-30,6.573142052,31.11387062,20.44423103,17.38226891,12.92912865,34.79800034,33.91661835,343.6778259,19.55696487,23.10780334,1.130465269,47.83436966,13.75268173,40.99938202,34.18367004,11.48030853,23.17633438,9.937143326,14.47105885,30.720541
2005-07-31,6.957930565,35.36332703,20.81771278,19.52451515,13.5515852,35.18516541,34.72580719,326.6201477,19.48073769,23.21349335,1.309816003,53.8040123,13.2141428,40.34338379,34.94503021,12.55369759,23.82946777,10.36899281,14.50525856,29.55563164
2005-08-31,6.459084988,36.39974594,20.4523468,20.32629013,13.62591267,35.39163208,31.73679733,328.6474304,19.09536743,22.38774681,1.440030098,52.09813309,12.79658413,40.19027328,35.80368042,13.90596199,23.49288368,10.21208286,13.86114407,31.15344429
2005-09-30,6.387818813,38.53819656,19.59170723,20.9777317,13.46024513,36.76498032,30.93207741,341.787384,18.75907898,22.4141655,1.64640677,51.83966827,12.54045582,40.1205368,37.97939301,14.90496445,24.31420708,10.16543579,13.85266781,37.21846771
